SubjectNr	SignalCode	SignalDescr	Count
9	Ms-1	Lax Nasolabial Tension	0
10	Ms-1	Lax Nasolabial Tension	0
11	Ms-1	Lax Nasolabial Tension	2
12	Ms-1	Lax Nasolabial Tension	7
13	Ms-1	Lax Nasolabial Tension	7
14	Ms-1	Lax Nasolabial Tension	0
15	Ms-1	Lax Nasolabial Tension	4
16	Ms-1	Lax Nasolabial Tension	7
17	Ms-1	Lax Nasolabial Tension	0
18	Ms-1	Lax Nasolabial Tension	0
19	Ms-1	Lax Nasolabial Tension	4
20	Ms-1	Lax Nasolabial Tension	7
21	Ms-1	Lax Nasolabial Tension	7
22	Ms-1	Lax Nasolabial Tension	4
23	Ms-1	Lax Nasolabial Tension	7
24	Ms-1	Lax Nasolabial Tension	0
25	Ms-1	Lax Nasolabial Tension	0
26	Ms-1	Lax Nasolabial Tension	2
27	Ms-1	Lax Nasolabial Tension	7
28	Ms-1	Lax Nasolabial Tension	4
29	Ms-1	Lax Nasolabial Tension	7
30	Ms-1	Lax Nasolabial Tension	0
31	Ms-1	Lax Nasolabial Tension	7
32	Ms-1	Lax Nasolabial Tension	7
1	Ms-2	Horizontal Curtain Smiles	4
2	Ms-2	Horizontal Curtain Smiles	0
3	Ms-2	Horizontal Curtain Smiles	0
4	Ms-2	Horizontal Curtain Smiles	7
5	Ms-2	Horizontal Curtain Smiles	2
6	Ms-2	Horizontal Curtain Smiles	7
7	Ms-2	Horizontal Curtain Smiles	0
8	Ms-2	Horizontal Curtain Smiles	7
9	Ms-2	Horizontal Curtain Smiles	0
10	Ms-2	Horizontal Curtain Smiles	0
11	Ms-2	Horizontal Curtain Smiles	4
12	Ms-2	Horizontal Curtain Smiles	2
13	Ms-2	Horizontal Curtain Smiles	4
14	Ms-2	Horizontal Curtain Smiles	2
15	Ms-2	Horizontal Curtain Smiles	4
16	Ms-2	Horizontal Curtain Smiles	7
17	Ms-2	Horizontal Curtain Smiles	0
18	Ms-2	Horizontal Curtain Smiles	4
19	Ms-2	Horizontal Curtain Smiles	0
20	Ms-2	Horizontal Curtain Smiles	7
21	Ms-2	Horizontal Curtain Smiles	0
22	Ms-2	Horizontal Curtain Smiles	7
23	Ms-2	Horizontal Curtain Smiles	4
24	Ms-2	Horizontal Curtain Smiles	2
25	Ms-2	Horizontal Curtain Smiles	0
26	Ms-2	Horizontal Curtain Smiles	7
27	Ms-2	Horizontal Curtain Smiles	4
28	Ms-2	Horizontal Curtain Smiles	7
29	Ms-2	Horizontal Curtain Smiles	7
30	Ms-2	Horizontal Curtain Smiles	0
31	Ms-2	Horizontal Curtain Smiles	7
32	Ms-2	Horizontal Curtain Smiles	7
1	Ms-3	Two Point Pulling	4
2	Ms-3	Two Point Pulling	0
3	Ms-3	Two Point Pulling	0
4	Ms-3	Two Point Pulling	4
5	Ms-3	Two Point Pulling	2
6	Ms-3	Two Point Pulling	7
7	Ms-3	Two Point Pulling	0
8	Ms-3	Two Point Pulling	7
9	Ms-3	Two Point Pulling	0
10	Ms-3	Two Point Pulling	0
11	Ms-3	Two Point Pulling	4
12	Ms-3	Two Point Pulling	4
13	Ms-3	Two Point Pulling	4
14	Ms-3	Two Point Pulling	2
15	Ms-3	Two Point Pulling	4
16	Ms-3	Two Point Pulling	7
17	Ms-3	Two Point Pulling	0
18	Ms-3	Two Point Pulling	0
19	Ms-3	Two Point Pulling	0
20	Ms-3	Two Point Pulling	7
21	Ms-3	Two Point Pulling	7
22	Ms-3	Two Point Pulling	7
23	Ms-3	Two Point Pulling	4
24	Ms-3	Two Point Pulling	0
25	Ms-3	Two Point Pulling	0
26	Ms-3	Two Point Pulling	7
27	Ms-3	Two Point Pulling	4
28	Ms-3	Two Point Pulling	4
29	Ms-3	Two Point Pulling	7
30	Ms-3	Two Point Pulling	0
31	Ms-3	Two Point Pulling	7
32	Ms-3	Two Point Pulling	7
1	Ms-4	Symmetrical Lips	4
2	Ms-4	Symmetrical Lips	2
3	Ms-4	Symmetrical Lips	4
4	Ms-4	Symmetrical Lips	4
5	Ms-4	Symmetrical Lips	2
6	Ms-4	Symmetrical Lips	7
7	Ms-4	Symmetrical Lips	2
8	Ms-4	Symmetrical Lips	7
9	Ms-4	Symmetrical Lips	0
10	Ms-4	Symmetrical Lips	0
11	Ms-4	Symmetrical Lips	4
12	Ms-4	Symmetrical Lips	2
13	Ms-4	Symmetrical Lips	7
14	Ms-4	Symmetrical Lips	4
15	Ms-4	Symmetrical Lips	7
16	Ms-4	Symmetrical Lips	7
17	Ms-4	Symmetrical Lips	7
18	Ms-4	Symmetrical Lips	7
19	Ms-4	Symmetrical Lips	0
20	Ms-4	Symmetrical Lips	7
21	Ms-4	Symmetrical Lips	7
22	Ms-4	Symmetrical Lips	4
23	Ms-4	Symmetrical Lips	4
24	Ms-4	Symmetrical Lips	2
25	Ms-4	Symmetrical Lips	2
26	Ms-4	Symmetrical Lips	7
27	Ms-4	Symmetrical Lips	2
28	Ms-4	Symmetrical Lips	2
29	Ms-4	Symmetrical Lips	4
30	Ms-4	Symmetrical Lips	0
31	Ms-4	Symmetrical Lips	7
32	Ms-4	Symmetrical Lips	7
1	Ms-5	Emotional Neutralization	2
2	Ms-5	Emotional Neutralization	0
3	Ms-5	Emotional Neutralization	0
4	Ms-5	Emotional Neutralization	2
5	Ms-5	Emotional Neutralization	0
6	Ms-5	Emotional Neutralization	4
7	Ms-5	Emotional Neutralization	0
8	Ms-5	Emotional Neutralization	7
9	Ms-5	Emotional Neutralization	0
10	Ms-5	Emotional Neutralization	2
11	Ms-5	Emotional Neutralization	0
12	Ms-5	Emotional Neutralization	2
13	Ms-5	Emotional Neutralization	7
14	Ms-5	Emotional Neutralization	0
15	Ms-5	Emotional Neutralization	4
16	Ms-5	Emotional Neutralization	4
17	Ms-5	Emotional Neutralization	0
18	Ms-5	Emotional Neutralization	0
19	Ms-5	Emotional Neutralization	0
20	Ms-5	Emotional Neutralization	7
21	Ms-5	Emotional Neutralization	0
22	Ms-5	Emotional Neutralization	7
23	Ms-5	Emotional Neutralization	7
24	Ms-5	Emotional Neutralization	0
25	Ms-5	Emotional Neutralization	4
26	Ms-5	Emotional Neutralization	4
27	Ms-5	Emotional Neutralization	4
28	Ms-5	Emotional Neutralization	4
29	Ms-5	Emotional Neutralization	4
30	Ms-5	Emotional Neutralization	0
31	Ms-5	Emotional Neutralization	7
32	Ms-5	Emotional Neutralization	7
1	Ms-6	Coordinated Movements	0
2	Ms-6	Coordinated Movements	0
3	Ms-6	Coordinated Movements	4
4	Ms-6	Coordinated Movements	7
5	Ms-6	Coordinated Movements	0
6	Ms-6	Coordinated Movements	7
7	Ms-6	Coordinated Movements	0
8	Ms-6	Coordinated Movements	4
9	Ms-6	Coordinated Movements	2
10	Ms-6	Coordinated Movements	2
11	Ms-6	Coordinated Movements	7
12	Ms-6	Coordinated Movements	7
13	Ms-6	Coordinated Movements	4
14	Ms-6	Coordinated Movements	0
15	Ms-6	Coordinated Movements	7
16	Ms-6	Coordinated Movements	7
17	Ms-6	Coordinated Movements	7
18	Ms-6	Coordinated Movements	7
19	Ms-6	Coordinated Movements	0
20	Ms-6	Coordinated Movements	7
21	Ms-6	Coordinated Movements	0
22	Ms-6	Coordinated Movements	4
23	Ms-6	Coordinated Movements	0
24	Ms-6	Coordinated Movements	0
25	Ms-6	Coordinated Movements	0
26	Ms-6	Coordinated Movements	4
27	Ms-6	Coordinated Movements	7
28	Ms-6	Coordinated Movements	7
29	Ms-6	Coordinated Movements	7
30	Ms-6	Coordinated Movements	4
31	Ms-6	Coordinated Movements	0
32	Ms-6	Coordinated Movements	2
1	Ms-7	Parabolic Velocity	2
2	Ms-7	Parabolic Velocity	4
3	Ms-7	Parabolic Velocity	4
4	Ms-7	Parabolic Velocity	7
5	Ms-7	Parabolic Velocity	0
6	Ms-7	Parabolic Velocity	7
7	Ms-7	Parabolic Velocity	0
8	Ms-7	Parabolic Velocity	4
9	Ms-7	Parabolic Velocity	2
10	Ms-7	Parabolic Velocity	0
11	Ms-7	Parabolic Velocity	7
12	Ms-7	Parabolic Velocity	7
13	Ms-7	Parabolic Velocity	2
14	Ms-7	Parabolic Velocity	2
15	Ms-7	Parabolic Velocity	7
16	Ms-7	Parabolic Velocity	7
17	Ms-7	Parabolic Velocity	7
18	Ms-7	Parabolic Velocity	7
19	Ms-7	Parabolic Velocity	4
20	Ms-7	Parabolic Velocity	0
21	Ms-7	Parabolic Velocity	0
22	Ms-7	Parabolic Velocity	4
23	Ms-7	Parabolic Velocity	0
24	Ms-7	Parabolic Velocity	0
25	Ms-7	Parabolic Velocity	0
26	Ms-7	Parabolic Velocity	7
27	Ms-7	Parabolic Velocity	7
28	Ms-7	Parabolic Velocity	7
29	Ms-7	Parabolic Velocity	7
30	Ms-7	Parabolic Velocity	4
31	Ms-7	Parabolic Velocity	0
32	Ms-7	Parabolic Velocity	2
1	Ms-8	Laryngeal-Faint Voice	0
2	Ms-8	Laryngeal-Faint Voice	0
3	Ms-8	Laryngeal-Faint Voice	0
4	Ms-8	Laryngeal-Faint Voice	0
5	Ms-8	Laryngeal-Faint Voice	0
6	Ms-8	Laryngeal-Faint Voice	4
7	Ms-8	Laryngeal-Faint Voice	0
8	Ms-8	Laryngeal-Faint Voice	2
9	Ms-8	Laryngeal-Faint Voice	0
10	Ms-8	Laryngeal-Faint Voice	4
11	Ms-8	Laryngeal-Faint Voice	0
12	Ms-8	Laryngeal-Faint Voice	2
13	Ms-8	Laryngeal-Faint Voice	7
14	Ms-8	Laryngeal-Faint Voice	0
15	Ms-8	Laryngeal-Faint Voice	4
16	Ms-8	Laryngeal-Faint Voice	0
17	Ms-8	Laryngeal-Faint Voice	0
18	Ms-8	Laryngeal-Faint Voice	0
19	Ms-8	Laryngeal-Faint Voice	2
20	Ms-8	Laryngeal-Faint Voice	0
21	Ms-8	Laryngeal-Faint Voice	0
22	Ms-8	Laryngeal-Faint Voice	7
23	Ms-8	Laryngeal-Faint Voice	7
24	Ms-8	Laryngeal-Faint Voice	0
25	Ms-8	Laryngeal-Faint Voice	2
26	Ms-8	Laryngeal-Faint Voice	2
27	Ms-8	Laryngeal-Faint Voice	4
28	Ms-8	Laryngeal-Faint Voice	4
29	Ms-8	Laryngeal-Faint Voice	0
30	Ms-8	Laryngeal-Faint Voice	0
31	Ms-8	Laryngeal-Faint Voice	0
32	Ms-8	Laryngeal-Faint Voice	7
1	Ms-9	Puppeteer Hands	2
2	Ms-9	Puppeteer Hands	0
3	Ms-9	Puppeteer Hands	2
4	Ms-9	Puppeteer Hands	4
5	Ms-9	Puppeteer Hands	0
6	Ms-9	Puppeteer Hands	4
7	Ms-9	Puppeteer Hands	0
8	Ms-9	Puppeteer Hands	0
9	Ms-9	Puppeteer Hands	0
10	Ms-9	Puppeteer Hands	0
11	Ms-9	Puppeteer Hands	7
12	Ms-9	Puppeteer Hands	4
13	Ms-9	Puppeteer Hands	2
14	Ms-9	Puppeteer Hands	0
15	Ms-9	Puppeteer Hands	4
16	Ms-9	Puppeteer Hands	4
17	Ms-9	Puppeteer Hands	0
18	Ms-9	Puppeteer Hands	0
19	Ms-9	Puppeteer Hands	0
20	Ms-9	Puppeteer Hands	0
21	Ms-9	Puppeteer Hands	0
22	Ms-9	Puppeteer Hands	0
23	Ms-9	Puppeteer Hands	0
24	Ms-9	Puppeteer Hands	0
25	Ms-9	Puppeteer Hands	2
26	Ms-9	Puppeteer Hands	0
27	Ms-9	Puppeteer Hands	0
28	Ms-9	Puppeteer Hands	0
29	Ms-9	Puppeteer Hands	2
30	Ms-9	Puppeteer Hands	0
31	Ms-9	Puppeteer Hands	0
32	Ms-9	Puppeteer Hands	0
1	Su-1	Lax Preseptal Area	0
2	Su-1	Lax Preseptal Area	0
3	Su-1	Lax Preseptal Area	0
4	Su-1	Lax Preseptal Area	0
5	Su-1	Lax Preseptal Area	0
6	Su-1	Lax Preseptal Area	0
7	Su-1	Lax Preseptal Area	0
8	Su-1	Lax Preseptal Area	0
9	Su-1	Lax Preseptal Area	2
10	Su-1	Lax Preseptal Area	0
11	Su-1	Lax Preseptal Area	0
12	Su-1	Lax Preseptal Area	0
13	Su-1	Lax Preseptal Area	0
14	Su-1	Lax Preseptal Area	4
15	Su-1	Lax Preseptal Area	0
16	Su-1	Lax Preseptal Area	7
17	Su-1	Lax Preseptal Area	0
18	Su-1	Lax Preseptal Area	0
19	Su-1	Lax Preseptal Area	7
20	Su-1	Lax Preseptal Area	0
21	Su-1	Lax Preseptal Area	0
22	Su-1	Lax Preseptal Area	0
23	Su-1	Lax Preseptal Area	0
24	Su-1	Lax Preseptal Area	7
25	Su-1	Lax Preseptal Area	2
26	Su-1	Lax Preseptal Area	0
27	Su-1	Lax Preseptal Area	7
28	Su-1	Lax Preseptal Area	2
29	Su-1	Lax Preseptal Area	0
30	Su-1	Lax Preseptal Area	0
31	Su-1	Lax Preseptal Area	0
32	Su-1	Lax Preseptal Area	0
1	Su-2	Taut Pretarsal Area	0
2	Su-2	Taut Pretarsal Area	0
3	Su-2	Taut Pretarsal Area	0
4	Su-2	Taut Pretarsal Area	0
5	Su-2	Taut Pretarsal Area	2
6	Su-2	Taut Pretarsal Area	0
7	Su-2	Taut Pretarsal Area	0
8	Su-2	Taut Pretarsal Area	0
9	Su-2	Taut Pretarsal Area	4
10	Su-2	Taut Pretarsal Area	0
11	Su-2	Taut Pretarsal Area	0
12	Su-2	Taut Pretarsal Area	0
13	Su-2	Taut Pretarsal Area	0
14	Su-2	Taut Pretarsal Area	7
15	Su-2	Taut Pretarsal Area	2
16	Su-2	Taut Pretarsal Area	7
17	Su-2	Taut Pretarsal Area	0
18	Su-2	Taut Pretarsal Area	0
19	Su-2	Taut Pretarsal Area	7
20	Su-2	Taut Pretarsal Area	0
21	Su-2	Taut Pretarsal Area	0
22	Su-2	Taut Pretarsal Area	0
23	Su-2	Taut Pretarsal Area	0
24	Su-2	Taut Pretarsal Area	4
25	Su-2	Taut Pretarsal Area	0
26	Su-2	Taut Pretarsal Area	2
27	Su-2	Taut Pretarsal Area	2
28	Su-2	Taut Pretarsal Area	0
29	Su-2	Taut Pretarsal Area	0
30	Su-2	Taut Pretarsal Area	0
31	Su-2	Taut Pretarsal Area	0
32	Su-2	Taut Pretarsal Area	0
1	Su-3	Lowered Outer Edges	0
2	Su-3	Lowered Outer Edges	0
3	Su-3	Lowered Outer Edges	0
4	Su-3	Lowered Outer Edges	0
5	Su-3	Lowered Outer Edges	2
6	Su-3	Lowered Outer Edges	0
7	Su-3	Lowered Outer Edges	0
8	Su-3	Lowered Outer Edges	0
9	Su-3	Lowered Outer Edges	2
10	Su-3	Lowered Outer Edges	0
11	Su-3	Lowered Outer Edges	0
12	Su-3	Lowered Outer Edges	2
13	Su-3	Lowered Outer Edges	0
14	Su-3	Lowered Outer Edges	0
15	Su-3	Lowered Outer Edges	0
16	Su-3	Lowered Outer Edges	7
17	Su-3	Lowered Outer Edges	0
18	Su-3	Lowered Outer Edges	0
19	Su-3	Lowered Outer Edges	4
20	Su-3	Lowered Outer Edges	0
21	Su-3	Lowered Outer Edges	0
22	Su-3	Lowered Outer Edges	0
23	Su-3	Lowered Outer Edges	0
24	Su-3	Lowered Outer Edges	7
25	Su-3	Lowered Outer Edges	0
26	Su-3	Lowered Outer Edges	0
27	Su-3	Lowered Outer Edges	4
28	Su-3	Lowered Outer Edges	0
29	Su-3	Lowered Outer Edges	0
30	Su-3	Lowered Outer Edges	0
31	Su-3	Lowered Outer Edges	0
32	Su-3	Lowered Outer Edges	0
1	Su-4	Procerus Scowling	0
2	Su-4	Procerus Scowling	0
3	Su-4	Procerus Scowling	0
4	Su-4	Procerus Scowling	0
5	Su-4	Procerus Scowling	7
6	Su-4	Procerus Scowling	0
7	Su-4	Procerus Scowling	0
8	Su-4	Procerus Scowling	0
9	Su-4	Procerus Scowling	0
10	Su-4	Procerus Scowling	0
11	Su-4	Procerus Scowling	0
12	Su-4	Procerus Scowling	2
13	Su-4	Procerus Scowling	0
14	Su-4	Procerus Scowling	0
15	Su-4	Procerus Scowling	0
16	Su-4	Procerus Scowling	0
17	Su-4	Procerus Scowling	0
18	Su-4	Procerus Scowling	0
19	Su-4	Procerus Scowling	4
20	Su-4	Procerus Scowling	0
21	Su-4	Procerus Scowling	0
22	Su-4	Procerus Scowling	4
23	Su-4	Procerus Scowling	0
24	Su-4	Procerus Scowling	0
25	Su-4	Procerus Scowling	0
26	Su-4	Procerus Scowling	0
27	Su-4	Procerus Scowling	4
28	Su-4	Procerus Scowling	2
29	Su-4	Procerus Scowling	2
30	Su-4	Procerus Scowling	0
31	Su-4	Procerus Scowling	0
32	Su-4	Procerus Scowling	0
1	Su-5	Brushstrokes Eye Toggles	2
2	Su-5	Brushstrokes Eye Toggles	0
3	Su-5	Brushstrokes Eye Toggles	2
4	Su-5	Brushstrokes Eye Toggles	4
5	Su-5	Brushstrokes Eye Toggles	0
6	Su-5	Brushstrokes Eye Toggles	0
7	Su-5	Brushstrokes Eye Toggles	0
8	Su-5	Brushstrokes Eye Toggles	0
9	Su-5	Brushstrokes Eye Toggles	0
10	Su-5	Brushstrokes Eye Toggles	4
11	Su-5	Brushstrokes Eye Toggles	0
12	Su-5	Brushstrokes Eye Toggles	0
13	Su-5	Brushstrokes Eye Toggles	2
14	Su-5	Brushstrokes Eye Toggles	7
15	Su-5	Brushstrokes Eye Toggles	0
16	Su-5	Brushstrokes Eye Toggles	4
17	Su-5	Brushstrokes Eye Toggles	0
18	Su-5	Brushstrokes Eye Toggles	0
19	Su-5	Brushstrokes Eye Toggles	0
20	Su-5	Brushstrokes Eye Toggles	0
21	Su-5	Brushstrokes Eye Toggles	0
22	Su-5	Brushstrokes Eye Toggles	2
23	Su-5	Brushstrokes Eye Toggles	0
24	Su-5	Brushstrokes Eye Toggles	0
25	Su-5	Brushstrokes Eye Toggles	0
26	Su-5	Brushstrokes Eye Toggles	0
27	Su-5	Brushstrokes Eye Toggles	7
28	Su-5	Brushstrokes Eye Toggles	2
29	Su-5	Brushstrokes Eye Toggles	2
30	Su-5	Brushstrokes Eye Toggles	0
31	Su-5	Brushstrokes Eye Toggles	0
32	Su-5	Brushstrokes Eye Toggles	0
1	Su-6	Eye-Head Trailing Motions	0
2	Su-6	Eye-Head Trailing Motions	0
3	Su-6	Eye-Head Trailing Motions	0
4	Su-6	Eye-Head Trailing Motions	4
5	Su-6	Eye-Head Trailing Motions	0
6	Su-6	Eye-Head Trailing Motions	0
7	Su-6	Eye-Head Trailing Motions	0
8	Su-6	Eye-Head Trailing Motions	0
9	Su-6	Eye-Head Trailing Motions	0
10	Su-6	Eye-Head Trailing Motions	0
11	Su-6	Eye-Head Trailing Motions	0
12	Su-6	Eye-Head Trailing Motions	0
13	Su-6	Eye-Head Trailing Motions	0
14	Su-6	Eye-Head Trailing Motions	4
15	Su-6	Eye-Head Trailing Motions	0
16	Su-6	Eye-Head Trailing Motions	0
17	Su-6	Eye-Head Trailing Motions	0
18	Su-6	Eye-Head Trailing Motions	0
19	Su-6	Eye-Head Trailing Motions	0
20	Su-6	Eye-Head Trailing Motions	0
21	Su-6	Eye-Head Trailing Motions	0
22	Su-6	Eye-Head Trailing Motions	0
23	Su-6	Eye-Head Trailing Motions	0
24	Su-6	Eye-Head Trailing Motions	0
25	Su-6	Eye-Head Trailing Motions	0
26	Su-6	Eye-Head Trailing Motions	0
27	Su-6	Eye-Head Trailing Motions	2
28	Su-6	Eye-Head Trailing Motions	2
29	Su-6	Eye-Head Trailing Motions	0
30	Su-6	Eye-Head Trailing Motions	0
31	Su-6	Eye-Head Trailing Motions	0
32	Su-6	Eye-Head Trailing Motions	0
1	Su-7	Levity Effect	0
2	Su-7	Levity Effect	0
3	Su-7	Levity Effect	0
4	Su-7	Levity Effect	4
5	Su-7	Levity Effect	0
6	Su-7	Levity Effect	0
7	Su-7	Levity Effect	2
8	Su-7	Levity Effect	0
9	Su-7	Levity Effect	2
10	Su-7	Levity Effect	0
11	Su-7	Levity Effect	0
12	Su-7	Levity Effect	2
13	Su-7	Levity Effect	0
14	Su-7	Levity Effect	2
15	Su-7	Levity Effect	0
16	Su-7	Levity Effect	0
17	Su-7	Levity Effect	0
18	Su-7	Levity Effect	0
19	Su-7	Levity Effect	0
20	Su-7	Levity Effect	0
21	Su-7	Levity Effect	0
22	Su-7	Levity Effect	0
23	Su-7	Levity Effect	0
24	Su-7	Levity Effect	0
25	Su-7	Levity Effect	0
26	Su-7	Levity Effect	0
27	Su-7	Levity Effect	2
28	Su-7	Levity Effect	0
29	Su-7	Levity Effect	0
30	Su-7	Levity Effect	0
31	Su-7	Levity Effect	0
32	Su-7	Levity Effect	0
1	Su-8	Gangly Movements	0
2	Su-8	Gangly Movements	0
3	Su-8	Gangly Movements	0
4	Su-8	Gangly Movements	0
5	Su-8	Gangly Movements	0
6	Su-8	Gangly Movements	0
7	Su-8	Gangly Movements	7
8	Su-8	Gangly Movements	0
9	Su-8	Gangly Movements	0
10	Su-8	Gangly Movements	0
11	Su-8	Gangly Movements	0
12	Su-8	Gangly Movements	0
13	Su-8	Gangly Movements	0
14	Su-8	Gangly Movements	0
15	Su-8	Gangly Movements	0
16	Su-8	Gangly Movements	0
17	Su-8	Gangly Movements	0
18	Su-8	Gangly Movements	0
19	Su-8	Gangly Movements	0
20	Su-8	Gangly Movements	0
21	Su-8	Gangly Movements	0
22	Su-8	Gangly Movements	0
23	Su-8	Gangly Movements	0
24	Su-8	Gangly Movements	0
25	Su-8	Gangly Movements	0
26	Su-8	Gangly Movements	0
27	Su-8	Gangly Movements	2
28	Su-8	Gangly Movements	0
29	Su-8	Gangly Movements	0
30	Su-8	Gangly Movements	0
31	Su-8	Gangly Movements	0
32	Su-8	Gangly Movements	0
